No;UPT;Jenis Stasiun Monitor;Tanggal;Waktu;Band;Pita Frekuensi;Frekuensi;Dinas;Sub Service;Kelas Emisi;Kelas Stasiun;Azimuth;Level;Identifikasi;Legalitas;Keterangan;Provinsi;Kab/Kota;Kecamatan;Kel/Desa;Lat;Long;No SPT;Tgl Input;Catatan
1;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;15. Selular, Broadband 2.3 GHz (2300 – 2400 MHz);2372.4;Land Mobile (public);LTE;;;;72.56;SMARTFREN TELECOM, TBK. PT;CLEAR;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
2;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;15. Selular, Broadband 2.3 GHz (2300 – 2400 MHz);2317.5;Land Mobile (public);LTE;;;;74.29;TELEKOMUNIKASI SELULAR, PT.;CLEAR;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
3;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;14. IMT (2170 - 2200 MHz);2185.8;Other Services;-;;;;74;Noise Floor;CLEAR;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
4;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;13. Downlink Seluler 2100 (2110 – 2170 MHz);2143.5;Land Mobile (public);UMTS;G7W;MO;;77.27;XL AXIATA, Tbk;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
5;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;12. Downlink Seluler 1800 (1805 – 1880 MHz);1817.4;Land Mobile (public);LTE;G7W;MO;;83.21;XL AXIATA, Tbk;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
6;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;11. IMT (1427 - 1518 MHz);1471.9;Other Services;-;;;;65.87;Noise Floor;CLEAR;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
7;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;10. Downlink Seluler 900 (925 – 960 MHz);957.1;Land Mobile (public);GSM;G7W;MO;;78.84;XL AXIATA, Tbk;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
8;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;10. Downlink Seluler 900 (925 – 960 MHz);945.3;Land Mobile (public);LTE;G7F;MO;;66.65;INDOSAT OOREDOO HUTCHINSON;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
9;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;10. Downlink Seluler 900 (925 – 960 MHz);937.3;Land Mobile (public);GSM;G7W;MO;;74.46;TELEKOMUNIKASI SELULAR, PT.;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
10;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;10. Downlink Seluler 900 (925 – 960 MHz);935.8;Land Mobile (public);GSM;G7W;MO;;77.24;TELEKOMUNIKASI SELULAR, PT.;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
11;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;10. Downlink Seluler 900 (925 – 960 MHz);929.9;Land Mobile (public);LTE;G7W;MO;;68.73;TELEKOMUNIKASI SELULAR, PT.;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
12;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;10. Downlink Seluler 900 (925 – 960 MHz);939.5;Land Mobile (public);GSM;G7W;MO;;74.48;TELEKOMUNIKASI SELULAR, PT.;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
13;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;9. Trunking, Downlink Selular 800 (806 – 880 MHz);857.75;Land Mobile (private);Trunking;D7W;ML;;55.37;Hankam/Polri;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
14;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;9. Trunking, Downlink Selular 800 (806 – 880 MHz);857.74;Land Mobile (private);Trunking;D7W;ML;;67.65;Hankam/Polri;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
15;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;8. Televisi UHF, IMT (478 – 806 MHz);690;Broadcast;DVB-T;;;;50.3;Noise Floor/ Clear;CLEAR;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
16;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;7. Tetap, Bergerak (460 – 470 MHz);464.685;Fixed Service;PMP;;;;42.79;Noise Floor/ Clear;CLEAR;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
17;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;6. Komrad UHF (430 – 460 MHz);431.05;Land Mobile (private);Standard;;;;42.66;ANGKASA PURA II (PERSERO), PT.;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
18;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;6. Komrad UHF (430 – 460 MHz);447.225;Land Mobile (private);Trunking;F3E;AT;;76.65;HANKAM / TNI;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
19;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;6. Komrad UHF (430 – 460 MHz);432.05;Land Mobile (private);Standard;G7F;;;42.31;ANGKASA PURA II (PERSERO), PT.;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
20;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;6. Komrad UHF (430 – 460 MHz);448.525;Land Mobile (private);Trunking;D7W;ML;;80.03;HANKAM / TNI;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
21;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;5. Tetap, Bergerak , Marabahaya (300 – 430 MHz);367.765;Fixed Service;PMP;;;;42.95;Noise Floor;CLEAR;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
22;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;5. Tetap, Bergerak , Marabahaya (300 – 430 MHz);393.275;Fixed Service;PMP;;;;59.78;Termonitor Hanya Noise;NOISE;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
23;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;5. Tetap, Bergerak , Marabahaya (300 – 430 MHz);356.55;Land Mobile (private);Standard;G7F;;;42.17;PLN (PERSERO), PT.;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
24;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;5. Tetap, Bergerak , Marabahaya (300 – 430 MHz);351.825;Land Mobile (private);Standard;G7F;FX;;42.22;PLN (PERSERO), PT.;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
25;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;5. Tetap, Bergerak , Marabahaya (300 – 430 MHz);351.7;Land Mobile (private);Standard;G7F;FX;;41.93;PLN (PERSERO), PT.;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
26;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;5. Tetap, Bergerak , Marabahaya (300 – 430 MHz);351.55;Land Mobile (private);Standard;G7F;FX;;42.07;PLN (PERSERO), PT.;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
27;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;5. Tetap, Bergerak , Marabahaya (300 – 430 MHz);350.25;Land Mobile (private);Standard;G7F;FX;;41.24;PLN (PERSERO), PT.;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
28;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;5. Tetap, Bergerak , Marabahaya (300 – 430 MHz);351.175;Land Mobile (private);Standard;G7F;FX;;42.28;PLN (PERSERO), PT.;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
29;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;5. Tetap, Bergerak , Marabahaya (300 – 430 MHz);351.975;Land Mobile (private);Standard;G7F;FX;;42.71;PLN (PERSERO), PT.;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
30;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;5. Tetap, Bergerak , Marabahaya (300 – 430 MHz);354.1;Land Mobile (private);Standard;G7F;;;43.01;GAPURA ANGKASA, PT.;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
31;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;5. Tetap, Bergerak , Marabahaya (300 – 430 MHz);354.975;Land Mobile (private);Standard;G7F;;;41.56;DUTA MEGATAMA CIPTA, PT.;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
32;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;5. Tetap, Bergerak , Marabahaya (300 – 430 MHz);357;Land Mobile (private);Standard;G7F;FX;;42.49;PLN (PERSERO), PT.;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
33;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;5. Tetap, Bergerak , Marabahaya (300 – 430 MHz);407.075;Land Mobile (private);Standard;G7F;;;41.77;JAYA CIPTA HOTEL, PT.;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
34;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;5. Tetap, Bergerak , Marabahaya (300 – 430 MHz);407.2;Land Mobile (private);Standard;;;;42.23;TERUS JAYA HOREKA;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
35;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;UHF;5. Tetap, Bergerak , Marabahaya (300 – 430 MHz);351.25;Land Mobile (private);Standard;G7F;FX;;41.6;PLN (PERSERO), PT.;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
36;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;4. DRM, DAB (174 – 230 MHz);206.59;Other Services;-;;;;36.67;Noise Floor/ Clear;CLEAR;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
37;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;4. DRM, DAB (174 – 230 MHz);176;Broadcast;FM;F3E;BC;;55.05;Harmonisa RADIO PUTRIMANDALIKA BUANA SWARA, PT;NOISE;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
38;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);173.8;Land Mobile (private);Standard;;;;34.58;PERTAMINA, PT. (PERSERO);OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
39;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);173.5;Land Mobile (private);Standard;G7F;FX;;34.05;PERTAMINA, PT. (PERSERO);OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
40;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);168.9;Land Mobile (private);Standard;;;;35.08;PERTAMINA, PT. (PERSERO);OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
41;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);166.3;Land Mobile (private);Standard;G7F;;;35.16;PLN (PERSERO), PT.;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
42;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);160.35;Land Mobile (private);Standard;G7F;;;33.56;CIPTA PERISAI MANDIRI, PT.;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
43;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);152.8;Land Mobile (private);Standard;G7F;;;31.71;SATUAN POLISI PAMONG PRAJA PEMERINTAH KABUPATEN LOMBOK TENGAH;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
44;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);170.4;Land Mobile (private);Standard;G7F;FX;;33.42;PERTAMINA, PT. (PERSERO);OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
45;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);162.775;Land Mobile (private);Standard;G7F;FX;;34.66;BALAI WILAYAH SUNGAI NUSA TENGGARA 1;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
46;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);157.9;Land Mobile (private);Standard;G7F;;;33.9;IPDN NTB;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
47;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);157.8;Land Mobile (private);Standard;;;;33.22;SATUAN POLISI PAMONG PRAJA PEMERINTAH KABUPATEN LOMBOK TENGAH;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
48;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);150.025;Land Mobile (private);Standard;G7F;;;31.5;RUMAH TAHANAN NEGARA PRAYA;OFF AIR (Sedang Tidak Digunakan);;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
49;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);144.5;Amateur Radio;AR Standard;F3E;AT;;43.89;Komunikasi Amatir;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
50;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);144.175;Amateur Radio;AR Standard;F3E;AT;;57.38;Komunikasi Amatir;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
51;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);143.125;Amateur Radio;AR Standard;F3E;AT;;46.46;Komunikasi RAPI;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
52;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);143.12;Amateur Radio;AR Standard;;;;49.07;Komunikasi Amatir;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
53;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);144.15;Amateur Radio;AR Standard;F3E;AT;;38.21;Komunikasi Amatir;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
54;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);144.03;Amateur Radio;AR Standard;F3E;AT;;43.99;Komunikasi Amatir;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
55;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);144.025;Amateur Radio;AR Standard;F3E;AT;;42.86;Komunikasi Amatir;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
56;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);144;Amateur Radio;AR Standard;F3E;AT;;43.56;Komunikasi Amatir;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
57;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;3. Komrad VHF, Instansi Pemerintah atau Badan Usaha, Maritim VHF (137 – 174 MHz);143.175;Amateur Radio;AR Standard;F3E;AT;;45.91;Komunikasi RAPI;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
58;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;2. Penerbangan VHF (108 – 137 MHz);131.95;Aeronautical;Ground-To-Air;;;;37.7;GAPURA ANGKASA, PT.;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
59;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;2. Penerbangan VHF (108 – 137 MHz);131.55;Aeronautical;Ground-To-Air;A3E;MA;;47.62;4848 INTERNATIONAL, PT.;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
60;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;2. Penerbangan VHF (108 – 137 MHz);131.325;Aeronautical;Ground-To-Air;A3E;MA;;55.78;LION MENTARI AIRLINES, PT.;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
61;Balai Monitor Kelas II Mataram;Transportable;2025-06-11;02:06:00;VHF;2. Penerbangan VHF (108 – 137 MHz);128.3;Aeronautical;Ground-To-Air;A3E;MA;;50.61;PERUM LPPNPI CABANG DENPASAR;BERIZIN;;NUSA TENGGARA BARAT;LOMBOK TENGAH;PRAYA;PRAYA;-8.70785;116.274;95/Balmon.52/KP.01.06/06/2025;2025-06-11;Monitoring Bulan Juni 2025
